query,stock_name,stock_code,pass_count,error,created_at
산일전기,,,0,RS 데이터가 없습니다.,2025-05-05 13:37:15
SK하이닉스,SK하이닉스,660.0,2,,2025-05-05 13:37:29
한미반도체,한미반도체,42700.0,0,,2025-05-05 13:38:34
TRIP,,,0,종목을 찾을 수 없습니다. 정확히 입력하거나 자동완성에서 선택해 주세요.,2025-05-05 13:45:26
삼성전자,삼성전자,5930.0,0,,2025-05-05 17:16:01
삼성전자,삼성전자,5930.0,0,,2025-05-05 17:16:26
두산에너빌리티,두산에너빌리티,34020.0,8,,2025-05-05 17:28:25
파크시스템스,파크시스템스,140860.0,5,,2025-05-06 00:51:49
파크시스템스,파크시스템스,140860.0,5,,2025-05-06 00:51:50
덴티움,덴티움,145720.0,2,,2025-05-06 00:52:18
덴티움,덴티움,145720.0,2,,2025-05-06 00:52:19
덴티움,덴티움,145720.0,2,,2025-05-06 00:52:19
엠아이텍,엠아이텍,179290.0,6,,2025-05-06 00:52:36
엠아이텍,엠아이텍,179290.0,6,,2025-05-06 00:52:37
하이비젼시스템,하이비젼시스템,126700.0,0,,2025-05-06 00:53:00
크래프톤,크래프톤,259960.0,8,,2025-05-06 00:53:18
크래프톤,크래프톤,259960.0,8,,2025-05-06 00:53:19
가온전선,가온전선,500.0,7,,2025-05-06 00:54:46
가온전선,가온전선,500.0,7,,2025-05-06 00:54:46
가온전선,가온전선,500.0,7,,2025-05-06 00:54:47
삼양식품,삼양식품,3230.0,8,,2025-05-06 00:55:09
한일시멘트,한일시멘트,300720.0,8,,2025-05-06 00:55:30
휴메딕스,휴메딕스,200670.0,8,,2025-05-06 00:55:56
휴메딕스,휴메딕스,200670.0,8,,2025-05-06 00:55:57
경동나비엔,경동나비엔,9450.0,5,,2025-05-06 00:56:17
한국단자,한국단자,25540.0,2,,2025-05-06 00:57:38
삼지전자,삼지전자,37460.0,8,,2025-05-06 00:58:07
KX하이텍,KX하이텍,52900.0,0,,2025-05-06 00:59:48
DN오토모티브,DN오토모티브,7340.0,6,,2025-05-06 01:00:22
에스엘,에스엘,5850.0,2,,2025-05-06 01:00:51
현대차,현대차,5380.0,0,,2025-05-06 01:01:12
매커스,매커스,93520.0,5,,2025-05-06 01:01:29
매커스,매커스,93520.0,5,,2025-05-06 01:01:31
풍산홀딩스,풍산홀딩스,5810.0,4,,2025-05-06 01:01:52
NI스틸,NI스틸,8260.0,1,,2025-05-06 01:02:11
한국무브넥스,한국무브넥스,10100.0,2,,2025-05-06 01:02:32
한국캐피탈,한국캐피탈,23760.0,3,,2025-05-06 01:04:48
KCTC,KCTC,9070.0,1,,2025-05-06 01:08:16
노바텍,노바텍,285490.0,7,,2025-05-06 01:08:33
노바텍,노바텍,285490.0,7,,2025-05-06 01:08:34
LX세미콘,LX세미콘,108320.0,0,,2025-05-06 01:11:03
월덱스,월덱스,101160.0,0,,2025-05-06 01:11:42
월덱스,월덱스,101160.0,0,,2025-05-06 01:11:43
NAVER,NAVER,35420.0,5,,2025-05-06 01:12:02
NAVER,NAVER,35420.0,5,,2025-05-06 01:12:03
현대공업,현대공업,170030.0,3,,2025-05-06 01:14:28
한라IMS,한라IMS,92460.0,8,,2025-05-06 01:14:45
JYP Ent.,JYP Ent.,35900.0,8,,2025-05-06 01:17:27
한국콜마,한국콜마,161890.0,7,,2025-05-06 01:20:19
골프존,골프존,215000.0,2,,2025-05-06 01:23:31
골프존,골프존,215000.0,2,,2025-05-06 01:23:31
현대오토에버,현대오토에버,307950.0,0,,2025-05-06 01:23:54
현대오토에버,현대오토에버,307950.0,0,,2025-05-06 01:23:55
현대오토에버,현대오토에버,307950.0,0,,2025-05-06 01:23:55
휴젤,휴젤,145020.0,8,,2025-05-06 01:24:12
휴젤,휴젤,145020.0,8,,2025-05-06 01:24:13
에스앤에스텍,에스앤에스텍,101490.0,5,,2025-05-06 01:26:45
에스앤에스텍,에스앤에스텍,101490.0,5,,2025-05-06 01:26:46
케이피에프,케이피에프,24880.0,0,,2025-05-06 01:27:11
SOOP,SOOP,67160.0,0,,2025-05-06 01:27:30
클래시스,클래시스,214150.0,8,,2025-05-06 01:32:12
클래시스,클래시스,214150.0,8,,2025-05-06 01:32:13
보라티알,보라티알,250000.0,4,,2025-05-06 01:43:22
보라티알,보라티알,250000.0,4,,2025-05-06 01:43:23
코스맥스,코스맥스,192820.0,7,,2025-05-06 01:43:43
한국가구,한국가구,4590.0,7,,2025-05-06 01:44:41
한국가구,한국가구,4590.0,7,,2025-05-06 01:44:42
GST,GST,83450.0,2,,2025-05-06 01:51:25
코미코,코미코,183300.0,5,,2025-05-06 01:52:16
바이오플러스,바이오플러스,99430.0,8,,2025-05-06 01:52:51
유비벨록스,유비벨록스,89850.0,4,,2025-05-06 01:55:47
디케이앤디,디케이앤디,263020.0,0,,2025-05-06 01:56:13
다우데이타,다우데이타,32190.0,5,,2025-05-06 01:56:44
덕산네오룩스,덕산네오룩스,213420.0,2,,2025-05-06 01:57:04
바디텍메드,바디텍메드,206640.0,5,,2025-05-06 01:57:26
동성화인텍,동성화인텍,33500.0,8,,2025-05-06 01:57:46
셀트리온제약,셀트리온제약,68760.0,0,,2025-05-06 01:59:41
키움증권,키움증권,39490.0,4,,2025-05-06 02:23:25
LS ELECTRIC,LS ELECTRIC,10120.0,5,,2025-05-06 02:23:52
한국앤컴퍼니,한국앤컴퍼니,240.0,2,,2025-05-06 02:24:18
세방전지,세방전지,4490.0,1,,2025-05-06 02:24:37
보령,보령,3850.0,0,,2025-05-06 02:24:54
리노공업,리노공업,58470.0,1,,2025-05-06 02:25:13
두산밥캣,두산밥캣,241560.0,6,,2025-05-06 02:25:32
미원화학,미원화학,134380.0,3,,2025-05-06 02:25:50
미원화학,미원화학,134380.0,3,,2025-05-06 02:25:51
JB금융지주,JB금융지주,175330.0,5,,2025-05-06 02:26:36
엠게임,엠게임,58630.0,1,,2025-05-06 02:26:57
LS에코에너지,LS에코에너지,229640.0,5,,2025-05-06 02:27:15
LS에코에너지,LS에코에너지,229640.0,5,,2025-05-06 02:27:16
다우기술,다우기술,23590.0,7,,2025-05-06 02:27:31
다우기술,다우기술,23590.0,7,,2025-05-06 02:27:32
피제이전자,피제이전자,6140.0,4,,2025-05-06 02:27:49
디알젬,디알젬,263690.0,1,,2025-05-06 02:28:05
유니크,유니크,11320.0,3,,2025-05-06 02:28:21
덕산하이메탈,덕산하이메탈,77360.0,0,,2025-05-06 02:28:35
한국컴퓨터,한국컴퓨터,54040.0,1,,2025-05-06 02:28:51
일진홀딩스,일진홀딩스,15860.0,3,,2025-05-06 02:29:17
팬오션,팬오션,28670.0,0,,2025-05-06 02:29:33
한양증권,한양증권,1750.0,5,,2025-05-06 02:29:49
삼영엠텍,삼영엠텍,54540.0,7,,2025-05-06 02:30:07
삼영엠텍,삼영엠텍,54540.0,7,,2025-05-06 02:30:08
삼영무역,삼영무역,2810.0,7,,2025-05-06 02:30:33
기업은행,기업은행,24110.0,7,,2025-05-06 02:30:50
미원홀딩스,미원홀딩스,107590.0,2,,2025-05-06 02:31:11
미원상사,미원상사,2840.0,3,,2025-05-06 02:31:28
올릭스,올릭스,226950.0,8,,2025-05-06 06:35:52
율촌화학,율촌화학,8730.0,3,,2025-05-06 06:39:34
율촌화학,율촌화학,8730.0,3,,2025-05-06 06:39:35
롯데관광개발,롯데관광개발,32350.0,5,,2025-05-06 06:41:29
